"name","track_id","album_id","composer","milliseconds","bytes","unit_price"
"Lightning Strikes Twice",1408,"114","David Murray/Steve Harris",290377,11616384,"0.99"
"Saturnine",2482,"201","Billy Corgan",229877,7523502,"0.99"
"Daughter",2206,"182","Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard",235598,7824586,"0.99"
"I'm Losing You",3259,"255",NULL,240719,3907467,"0.99"
"No Bone Movies",2111,"174","O. Osbourne, R. Daisley, R. Rhoads",249208,8095199,"0.99"
"2112 Overture",2415,"196","Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush",272718,8898066,"0.99"
"City Of Blinding Lights",2968,"235","Adam Clayton, Bono, Larry Mullen & The Edge",347951,11432026,"0.99"
"Linha Do Equador",316,"28",NULL,244715,8123466,"0.99"
"Clash City Rockers",2594,"211","Joe Strummer/Mick Jones",227500,7555054,"0.99"
"My Brother",1523,"123",NULL,253231,8431821,"0.99"
"Pretty Tied Up",1181,"92","Izzy Stradlin'",287477,9408754,"0.99"
"Think About You",1153,"90",NULL,231640,3860275,"0.99"
"Hunger Strike",3367,"269",NULL,246292,4233212,"0.99"
"Violent Pornography",2560,"207","Dolmayan, John/Malakian, Daron/Odadjian, Shavo",211435,6985960,"0.99"
"Brain Damage",2236,"183","Waters",230556,7497655,"0.99"
"How The West Was Won And Where It Got Us",2296,"189","Bill Berry-Peter Buck-Mike Mills-Michael Stipe",271151,8994291,"0.99"
"La Bella Luna",2069,"168","Herbert Vianna",192653,6428598,"0.99"
"Bat Macumba",537,"42","Gilberto Gil - Caetano Veloso",187794,6295223,"0.99"
"Eu Apenas Queria Que Voçê Soubesse",508,"41",NULL,155637,5130056,"0.99"
"Leave Us Leap",628,"51",NULL,182726,5898810,"0.99"
"Message in a Bottle",2652,"215","G M Sumner",291474,9647829,"0.99"
"Miracle To Me",2578,"209","Chris Robinson/Rich Robinson",372636,12222116,"0.99"
"Pot-Pourri N.º 2",658,"52",NULL,211748,6878359,"0.99"
"Só Tinha De Ser Com Você",407,"34","Vários",389642,13085596,"0.99"
"Dirty Little Thing",3115,"246","Dave Kushner, Duff, Keith Nelson, Matt Sorum, Scott Weiland & Slash",237844,7732982,"0.99"
"Doce De Carnaval (Candy All)",1102,"87",NULL,356101,11998470,"0.99"
"Mocidade",559,"45","Domenil/J. Brito/Joaozinho/Rap, Marcelo Do",261720,8817757,"0.99"
"A Touch Away",794,"63","Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",276323,9098561,"0.99"
"Put You Down",59,"7","Jerry Cantrell",196231,6420530,"0.99"
"Love And Peace Or Else",2967,"235","Adam Clayton, Bono, Larry Mullen & The Edge",290690,9476723,"0.99"
"Wild Side",1973,"162","Nikki Sixx/Tommy Lee/Vince Neil",276767,9116997,"0.99"
"Engenho De Dentro",1506,"122",NULL,310073,10211473,"0.99"
"Something Got Me Started",2442,"141","Mick Hucknall and Fritz McIntyre",239595,7997139,"0.99"
"Marina (Dorival Caymmi)",664,"53",NULL,172643,5523628,"0.99"
"The Last Remaining Light",98,"10","Audioslave/Chris Cornell",317492,7622615,"0.99"
"Enter Sandman",77,"9","Apocalyptica",221701,7286305,"0.99"
"One Man's Meat",825,"66","roger glover",278804,9068960,"0.99"
"Flight Of The Rat",757,"59","Blackmore, Gillan, Glover, Lord, Paice",478302,15563967,"0.99"
